fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-04-01,Banco del Estado de Chile,,39.18452559443376,60.81547440556624,1.2597140247305614,7.9636018507006145
2016-04-01,Banco do Brasil S.A.,,100.0,0.0,2.325154933915336,9.791821010883316
2016-04-01,Deutsche Bank (Chile),,,,,
2016-04-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-04-01,HSBC Bank (Chile),,99.92761658417425,0.07238341582575325,2.235603430295787,10.717607215039541
2016-04-01,Itaú Corpbanca,,57.90478075370148,42.09521924629851,0.7549505710000509,9.048244021128745
2016-04-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-04-01,Rabobank Chile,,100.0,0.0,0.4982271503964376,2.227239423963636
2016-04-01,Scotiabank Chile,,48.730463982859476,51.26953601714052,0.9617328965855263,22.24383125556997
2016-04-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.1371368308430068,
2016-05-01,Banco BTG Pactual Chile,,100.0,0.0,0.3492748819284063,
2016-05-01,Banco Bice,,75.96254597227839,24.037454027721605,0.6783469153157478,7.242473625201217
2016-05-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.36917687021466,55.63082312978535,0.8271876552394379,8.860087472467368
2016-05-01,Banco Consorcio,,91.12885965184594,8.871140348154066,0.7685919206942059,11.210091940503048
2016-05-01,Banco Falabella,,1.3637162154191765e-10,99.99999999986363,3.3874079596976268,
2016-05-01,Banco Internacional,,96.09261179653541,3.9073882034645875,1.2885833500710209,3.6345729194158003
2016-05-01,Banco Paris,,0.0,100.0,0.16437950711965327,
2016-05-01,Banco Penta,,100.0,0.0,2.0284885828167236,0.0
2016-05-01,Banco Ripley,,0.0,100.0,3.8937164317897017,
2016-05-01,Banco Santander-Chile,,42.943367003094934,57.056632996905066,1.0837355456715132,8.805460522041084
2016-05-01,Banco Security,,72.32587486202067,27.674125137979328,0.6700155163488651,1.3514689221925371
2016-05-01,Banco de Chile,,50.3166417921852,49.683358207814805,1.2103834259083281,14.128312570892529
2016-05-01,Banco de Crédito e Inversiones,,49.80103361595223,50.19896638404777,0.5027854236865076,7.526285773558768
2016-05-01,Banco de la Nación Argentina,,99.42769045068361,0.57230954931638,0.542577306661681,
2016-05-01,Banco del Estado de Chile,,38.86572695607038,61.13427304392961,1.2403268750771737,8.239494791077833
2016-05-01,Banco do Brasil S.A.,,100.0,0.0,2.29691849116878,9.821130458263521
2016-05-01,"China Construction Bank, Agencia en Chile",,,,,
2016-05-01,Deutsche Bank (Chile),,,,,
2016-05-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-05-01,HSBC Bank (Chile),,99.94490604142874,0.05509395857126018,2.3478041398369434,9.21389981754003
2016-05-01,Itaú Corpbanca,,57.880911988569885,42.119088011430115,0.7525323191800434,9.788773304149002
2016-05-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-05-01,Rabobank Chile,,100.0,0.0,0.5503431952096297,2.5579730071877265
2016-05-01,Scotiabank Chile,,49.01028370868802,50.98971629131198,0.951685592514809,23.214918525187684
2016-05-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,1.282819879375811,
2016-06-01,Banco BTG Pactual Chile,0.33521744230324996,,0.33521744230324996,,
2016-06-01,Banco Bice,1.4523550015177586,0.5589089306061211,0.6177331561013363,7.490590095545656,28.393711328383635
2016-06-01,"Banco Bilbao Vizcaya Argentaria, Chile",1.3318950146307507,1.704410147471192,0.8194372072775428,8.364575712582129,20.781759902551766
2016-06-01,Banco Consorcio,1.5740374705278077,2.5218075025132944,0.8253804603228103,10.964967387045473,53.79869164292357
2016-06-01,Banco Falabella,0.0,4.863631678149873,3.4418336853416247,,31.14855167372021
2016-06-01,Banco Internacional,3.1203090078990234,4.652032559411112,1.157103200684531,3.1161649287865267,35.2076572573888
2016-06-01,Banco Paris,,1.6458140149756488,0.16500230891477582,,12.130187011891543
2016-06-01,Banco Penta,0.40266356039772405,,1.700466934185913,0.0,
2016-06-01,Banco Ripley,,6.829474967091698,3.8927803885311496,,39.1588760384755
2016-06-01,Banco Santander-Chile,2.528764152555457,2.959973909681353,1.1082055209485573,8.400024782372006,32.514927433406264
2016-06-01,Banco Security,1.9586385919139109,1.5417179778701222,0.658254469463016,1.5667465498917348,27.159722155814265
2016-06-01,Banco de Chile,1.9583925225830239,2.289185143917859,1.2089356728234202,14.642859257641296,35.830726850115695
2016-06-01,Banco de Crédito e Inversiones,1.7894054773818235,2.016032571940746,0.4926846137565647,7.373113934579062,25.952887436332478
2016-06-01,Banco de la Nación Argentina,1.7062947882507167,0.4999997515572392,0.3072920149311748,,82.76048288301985
2016-06-01,Banco del Estado de Chile,2.1425753154209572,3.777870100042612,1.2583185215481638,8.585873026508686,23.974046389827464
2016-06-01,Banco do Brasil S.A.,7.411286178469512,,1.6725675940155547,9.800018258499323,89.99999999999999
2016-06-01,"China Construction Bank, Agencia en Chile",,,,,
2016-06-01,Deutsche Bank (Chile),,,,,
2016-06-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-06-01,HSBC Bank (Chile),4.650931343749253,0.4,2.6108715612939437,10.282493090292535,10.0
2016-06-01,Itaú Corpbanca,1.5492133361187181,1.5790845149754156,0.743243144248385,9.46755288939357,24.152742886796233
2016-06-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-06-01,Rabobank Chile,3.950632985813307,,0.49429071063711877,1.735306416325814,30.320641470922876
2016-06-01,Scotiabank Chile,2.1507123603948775,1.9291682132142802,0.9609375331422362,23.045291625645557,18.31353356444535
2016-06-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",1.702752998496948,,1.702752998496948,,
2016-07-01,Banco BTG Pactual Chile,,100.0,0.0,0.2630504210053486,3.577096115255262
2016-07-01,Banco Bice,,75.7485266093131,24.251473390686897,0.6187369249123015,8.12529813047427
2016-07-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.23955224442251,55.76044775557748,0.8045018710017784,8.168277876781035
2016-07-01,Banco Consorcio,,91.44674676643876,8.553253233561234,0.8361239156205701,9.338594551892779
2016-07-01,Banco Falabella,,1.348297096293866e-10,99.99999999986517,3.4355408198419215,
2016-07-01,Banco Internacional,,96.15168205494084,3.848317945059171,1.0937148833269872,2.8829389840335273
2016-07-01,Banco Paris,,0.0,100.0,0.2011575916846526,
2016-07-01,Banco Penta,,100.0,0.0,1.6694799500656567,0.0
2016-07-01,Banco Ripley,,0.0,100.0,3.9145995136594856,
2016-07-01,Banco Santander-Chile,,42.09516968558473,57.904830314415264,1.118343196263643,8.245648389638626
2016-07-01,Banco Security,,72.48752427707647,27.51247572292352,0.6742933808047756,1.5994241161943195
2016-07-01,Banco de Chile,,50.37534936603618,49.62465063396381,1.1870890479782572,14.667130671743442
2016-07-01,Banco de Crédito e Inversiones,,49.43732912402902,50.56267087597098,0.5081074757978022,7.51751312935027
2016-07-01,Banco de la Nación Argentina,,99.42303721654211,0.5769627834578852,0.32216975885968424,
2016-07-01,Banco del Estado de Chile,,38.93147501213104,61.068524987868955,1.2196945168501692,8.272457720710813
2016-07-01,Banco do Brasil S.A.,,100.0,0.0,1.692239182845743,9.861440221603027
2016-07-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,1.7499999962524038,
2016-07-01,Deutsche Bank (Chile),,,,,
2016-07-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-07-01,HSBC Bank (Chile),,99.93929039397051,0.06070960602948785,2.7330352115095593,10.337758683970133
2016-07-01,Itaú Corpbanca,,57.71679151516782,42.28320848483218,0.7489597886809131,9.583180607974406
2016-07-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-07-01,Rabobank Chile,,100.0,0.0,0.5033824586905359,1.6358310911862621
2016-07-01,Scotiabank Chile,,47.72742671435186,52.27257328564815,0.896230955068871,23.264551508926324
2016-07-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.04030394133939,
2016-08-01,Banco BTG Pactual Chile,,100.0,0.0,0.2742675612487431,3.555389160237775
2016-08-01,Banco Bice,,76.05885040294119,23.941149597058807,0.6619335145302305,8.565256247883791
2016-08-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.39132865233301,55.60867134766699,0.8006385344348218,8.282406640708679
