fecha,banco,indice_total,indice_comercial,indice_consumo,indice_vivienda
2023-09-01,Banco del Estado de Chile,3.4582325093227637,3.5563317134864687,4.260001215724742,2.8327910504065676
2023-09-01,Banco do Brasil S.A.,,,,
2023-09-01,"Bank of China, Agencia en Chile",0.218750002584595,0.218750002584595,0.218750002584595,
2023-09-01,"China Construction Bank, Agencia en Chile",7.526008618354346,7.526008618354346,7.526008618354346,
2023-09-01,HSBC Bank (Chile),3.962686797484486,4.459319881023839,4.45971045417336,0.40000326896229965
2023-09-01,"JP Morgan Chase Bank, N.A.",1.2967334137794637,1.2967334137794637,1.2967334137794637,
2023-09-01,Scotiabank Chile,1.5477226351252567,1.5490205246803883,1.9451130670811227,1.142534540350133
2023-10-01,Banco BTG Pactual Chile,2.6866800812170912,2.6866800812170912,2.6866800812170912,
2023-10-01,Banco Bice,1.188479544913443,1.188479544913443,1.4619073526612398,0.35243709981667204
2023-10-01,Banco Consorcio,2.0833923378267674,2.0833923378267674,2.844994147153083,0.5174476047524955
2023-10-01,Banco Falabella,5.662624218621091,5.662624218621091,4.387145007284485,5.731305027909007
2023-10-01,Banco Internacional,1.848439386627839,1.848439386627839,1.8537767893209351,1.7242209673822304
2023-10-01,Banco Itaú Chile,2.6121037243703378,2.622066753514445,2.6038421162423777,2.6479483952845
2023-10-01,Banco Ripley,9.458206714726522,9.458206714726522,10.425821601591778,9.456317660003515
2023-10-01,Banco Santander-Chile,2.729488388059539,2.7337218225880044,3.534243166789064,2.043172526046694
2023-10-01,Banco Security,2.622189303300054,2.622189303300054,2.859370845555841,1.7561664333542604
2023-10-01,Banco de Chile,1.9838529020336388,1.997334920584795,1.8324809268367583,2.187268491041396
2023-10-01,Banco de Crédito e Inversiones,1.9697127406887511,1.9988120625776606,1.9293178572792162,2.095475770198804
2023-10-01,Banco del Estado de Chile,3.504898981338836,3.5963565843232868,4.315185106826245,2.865114460672594
2023-10-01,Banco do Brasil S.A.,,,,
2023-10-01,"Bank of China, Agencia en Chile",0.21874999943482026,0.21874999943482026,0.21874999943482026,
2023-10-01,"China Construction Bank, Agencia en Chile",7.5709335175044705,7.5709335175044705,7.5709335175044705,
2023-10-01,HSBC Bank (Chile),4.0814565373958915,4.624603314292674,4.624999662348662,0.3999979976663712
2023-10-01,"JP Morgan Chase Bank, N.A.",0.980123613173587,0.980123613173587,0.980123613173587,
2023-10-01,Scotiabank Chile,1.5877051416935235,1.588219320393284,2.0170696174141765,1.1603192588286064
2023-11-01,Banco BTG Pactual Chile,1.4714690221321507,1.4714690221321507,1.4714690221321507,
2023-11-01,Banco Bice,1.1846258232358908,1.1846258232358908,1.4339834432588485,0.42205488064577523
2023-11-01,Banco Consorcio,2.0355384348226915,2.0355384348226915,2.7803857409018273,0.5257088861642231
2023-11-01,Banco Falabella,6.001290756466784,6.001290756466784,4.518986257486208,6.081181910247784
2023-11-01,Banco Internacional,1.8083920586914826,1.8083920586914826,1.8111877821726055,1.747076933516574
2023-11-01,Banco Itaú Chile,2.65666965226277,2.6666338167035812,2.5912886625634854,2.7720694807330513
2023-11-01,Banco Ripley,9.449898302052134,9.449898302052134,10.429937835631888,9.448102138517655
2023-11-01,Banco Santander-Chile,2.7289146293104656,2.731729339423708,3.5652316263644805,2.0232031118415117
2023-11-01,Banco Security,2.5913262705628073,2.5913262705628073,2.8176014874276545,1.775524605074354
2023-11-01,Banco de Chile,1.9653142950327416,1.9827188945187122,1.7726279127254145,2.2223931619512456
2023-11-01,Banco de Crédito e Inversiones,1.977477392139421,2.0064302944029495,1.9094827311532128,2.139518800138005
2023-11-01,Banco del Estado de Chile,3.567027855831927,3.6596103382607934,4.442675208378455,2.8918277865144235
2023-11-01,Banco do Brasil S.A.,,,,
2023-11-01,"Bank of China, Agencia en Chile",0.21875000000000003,0.21875000000000003,0.21875000000000003,
2023-11-01,"China Construction Bank, Agencia en Chile",7.595783102512398,7.595783102512398,7.595783102512398,
2023-11-01,HSBC Bank (Chile),3.520988539569371,3.9575623171621084,3.9578617429698357,0.3999985215141096
2023-11-01,"JP Morgan Chase Bank, N.A.",0.7079650356847221,0.7079650356847221,0.7079650356847221,
2023-11-01,Scotiabank Chile,1.583068388695778,1.583670027284273,2.0160042844386004,1.1638651135171303
2023-12-01,Banco BTG Pactual Chile,1.3806012499888862,1.3806012499888862,1.3806012499888862,
2023-12-01,Banco Bice,1.1935506425411544,1.1935506425411544,1.4452284766456278,0.4246151489625297
2023-12-01,Banco Consorcio,2.0641920640637323,2.0641920640637323,2.8587428056611204,0.52423809358427
2023-12-01,Banco Falabella,6.085332757254532,6.085332757254532,4.719357232392075,6.159747874224308
2023-12-01,Banco Internacional,1.9199364243694856,1.9199364243694856,1.9279333482670202,1.7480898413386774
2023-12-01,Banco Itaú Chile,2.6589788700237835,2.6687004600734165,2.6125904375876075,2.747415274155888
2023-12-01,Banco Ripley,9.599270513756245,9.599270513756245,10.9083584148287,9.597017660480093
2023-12-01,Banco Santander-Chile,2.73423379920556,2.738586056062862,3.5417272881010273,2.0570705164888636
2023-12-01,Banco Security,2.673543338472116,2.673593448218801,2.924736313306584,1.781176774913943
2023-12-01,Banco de Chile,2.000987685861716,2.0212927657673294,1.786973936497024,2.2871802211114467
2023-12-01,Banco de Crédito e Inversiones,1.9487139735562147,1.976830397411367,1.8751512251913092,2.1164083873151127
2023-12-01,Banco del Estado de Chile,3.6468626471644483,3.7312476686402687,4.635835372099758,2.86301269369974
2023-12-01,Banco do Brasil S.A.,,,,
